,date,future,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo
251,2017-04-16,False,Voters,42.73984,48.22797,37.25171,50.934,55.76231,46.10569
252,2017-04-17,False,Adults,41.29482,46.21842,36.37123,52.09627,57.79642,46.39611
253,2017-04-17,False,All polls,41.62966,46.85859,36.40073,51.48813,56.89203,46.08422
254,2017-04-17,False,Voters,43.4188,48.84432,37.99329,50.35167,55.01369,45.68964
255,2017-04-18,False,Adults,41.32755,46.28143,36.37368,51.95232,57.66853,46.23611
256,2017-04-18,False,All polls,41.70159,46.99654,36.40664,51.38246,56.7924,45.97252
257,2017-04-18,False,Voters,43.50145,48.9874,38.01551,50.31609,54.99622,45.63595
258,2017-04-19,False,Adults,41.10365,45.66794,36.53936,52.49113,57.87409,47.10818
259,2017-04-19,False,All polls,41.92009,47.03592,36.80427,51.80953,56.86413,46.75493
260,2017-04-19,False,Voters,44.00313,49.2343,38.77197,50.52559,54.88184,46.16934
261,2017-04-20,False,Adults,40.81158,45.62248,36.00069,52.93252,58.88656,46.97849
262,2017-04-20,False,All polls,42.02447,47.19346,36.85548,52.04146,57.51389,46.56903
263,2017-04-20,False,Voters,44.05973,49.1797,38.93976,50.58625,55.20732,45.96517
264,2017-04-21,False,Adults,40.72075,45.46203,35.97947,53.3662,59.12423,47.60818
265,2017-04-21,False,All polls,41.89439,47.02298,36.7658,52.33761,57.71827,46.95695
266,2017-04-21,False,Voters,44.04811,49.1926,38.90363,50.56432,55.18794,45.9407
267,2017-04-22,False,Adults,40.71088,45.44498,35.97677,53.36101,59.11146,47.61056
268,2017-04-22,False,All polls,41.88213,47.01614,36.74812,52.33886,57.71994,46.95778
269,2017-04-22,False,Voters,44.04811,49.1926,38.90363,50.56432,55.18794,45.9407
270,2017-04-23,False,Adults,40.62176,45.03156,36.21197,53.92823,59.21482,48.64163
271,2017-04-23,False,All polls,41.63386,46.54868,36.71904,52.87494,57.99485,47.75502
272,2017-04-23,False,Voters,44.04811,49.1926,38.90363,50.56432,55.18794,45.9407
273,2017-04-24,False,Adults,40.60334,45.012,36.19468,53.91079,59.18217,48.6394
274,2017-04-24,False,All polls,41.76186,46.79366,36.73006,52.74255,57.86912,47.61599
275,2017-04-24,False,Voters,44.23955,49.54624,38.93287,50.40123,55.07882,45.72365
276,2017-04-25,False,Adults,40.30374,44.60197,36.00551,54.23236,59.40096,49.06376
277,2017-04-25,False,All polls,41.42433,46.19313,36.65553,52.85545,57.87822,47.83269
278,2017-04-25,False,Voters,43.502,48.45667,38.54732,50.69404,55.25338,46.13471
279,2017-04-26,False,Adults,40.71889,44.81233,36.62546,53.70636,58.5398,48.87291
280,2017-04-26,False,All polls,41.98724,46.71743,37.25704,52.19347,57.10226,47.28468
281,2017-04-26,False,Voters,44.06063,48.8275,39.29377,50.11729,54.70171,45.53288
282,2017-04-27,False,Adults,41.19462,45.27081,37.11842,53.62363,58.3029,48.94435
283,2017-04-27,False,All polls,42.1408,46.77888,37.50272,52.32465,57.1571,47.4922
284,2017-04-27,False,Voters,43.94151,48.69866,39.18437,50.25742,54.9077,45.60715
285,2017-04-28,False,Adults,40.96248,45.51542,36.40953,54.07797,59.50538,48.65056
286,2017-04-28,False,All polls,41.9548,46.88246,37.02715,52.67693,58.03936,47.31449
287,2017-04-28,False,Voters,44.18594,48.92052,39.45135,50.13792,54.68615,45.58969
288,2017-04-29,False,Adults,41.04478,45.61719,36.47237,53.89684,59.35752,48.43616
289,2017-04-29,False,All polls,41.99678,46.93359,37.05997,52.56797,57.95444,47.1815
290,2017-04-29,False,Voters,44.18594,48.92052,39.45135,50.13792,54.68615,45.58969
291,2017-04-30,False,Adults,41.0427,45.62574,36.45967,53.92722,59.38926,48.46518
292,2017-04-30,False,All polls,41.98776,46.93704,37.03849,52.59581,57.99697,47.19464
293,2017-04-30,False,Voters,44.18594,48.92052,39.45135,50.13792,54.68615,45.58969
294,2017-05-01,False,Adults,40.90617,45.40572,36.40663,54.12692,59.50862,48.74522
295,2017-05-01,False,All polls,41.87309,46.76357,36.98261,52.76786,58.10855,47.42718
296,2017-05-01,False,Voters,44.12144,48.82506,39.41782,50.34044,54.91676,45.76411
297,2017-05-02,False,Adults,41.01395,45.53724,36.49067,54.02813,59.42989,48.62637
298,2017-05-02,False,All polls,41.99481,46.92556,37.06407,52.65896,58.00486,47.31306
299,2017-05-02,False,Voters,44.19493,48.93872,39.45113,50.27415,54.85132,45.69698
300,2017-05-03,False,Adults,41.48521,45.87061,37.0998,53.02538,58.46288,47.58789
301,2017-05-03,False,All polls,42.38294,47.22184,37.54404,51.87002,57.22107,46.51897
302,2017-05-03,False,Voters,44.34391,48.90283,39.78498,49.80513,54.46153,45.14873
303,2017-05-04,False,Adults,41.48521,45.87061,37.0998,53.02538,58.46288,47.58789
